2021-02-01 11:02:41 status half-configured perl-base:arm64 5.30.0-9build1
2021-02-01 11:02:42 status installed perl-base:arm64 5.30.0-9build1
2021-02-01 11:02:42 startup archives install
2021-02-01 11:02:42 install mawk:arm64 <none> 1.3.4.20200120-2
2021-02-01 11:02:42 status half-installed mawk:arm64 1.3.4.20200120-2
2021-02-01 11:02:42 status unpacked mawk:arm64 1.3.4.20200120-2
2021-02-01 11:02:42 configure mawk:arm64 1.3.4.20200120-2 1.3.4.20200120-2
2021-02-01 11:02:42 status half-configured mawk:arm64 1.3.4.20200120-2
2021-02-01 11:02:42 status installed mawk:arm64 1.3.4.20200120-2
2021-02-01 11:02:42 startup archives unpack
2021-02-01 11:02:42 upgrade base-files:arm64 11ubuntu5 11ubuntu5
2021-02-01 11:02:42 status half-configured base-files:arm64 11ubuntu5
2021-02-01 11:02:42 status unpacked base-files:arm64 11ubuntu5
2021-02-01 11:02:42 status half-installed base-files:arm64 11ubuntu5
2021-02-01 11:02:42 status unpacked base-files:arm64 11ubuntu5
2021-02-01 11:02:42 upgrade base-passwd:arm64 3.5.47 3.5.47
2021-02-01 11:02:42 status half-configured base-passwd:arm64 3.5.47
2021-02-01 11:02:42 status unpacked base-passwd:arm64 3.5.47
2021-02-01 11:02:42 status half-installed base-passwd:arm64 3.5.47
2021-02-01 11:02:42 status unpacked base-passwd:arm64 3.5.47
2021-02-01 11:02:42 install bash:arm64 <none> 5.0-6ubuntu1
2021-02-01 11:02:42 status half-installed bash:arm64 5.0-6ubuntu1
2021-02-01 11:02:42 status unpacked bash:arm64 5.0-6ubuntu1
2021-02-01 11:02:42 install bsdutils:arm64 <none> 1:2.34-0.1ubuntu9
2021-02-01 11:02:42 status half-installed bsdutils:arm64 1:2.34-0.1ubuntu9
2021-02-01 11:02:42 status unpacked bsdutils:arm64 1:2.34-0.1ubuntu9
2021-02-01 11:02:42 install coreutils:arm64 <none> 8.30-3ubuntu2
2021-02-01 11:02:42 status half-installed coreutils:arm64 8.30-3ubuntu2
2021-02-01 11:02:43 status unpacked coreutils:arm64 8.30-3ubuntu2
2021-02-01 11:02:43 install dash:arm64 <none> 0.5.10.2-6
2021-02-01 11:02:43 status half-installed dash:arm64 0.5.10.2-6
2021-02-01 11:02:43 status unpacked dash:arm64 0.5.10.2-6
2021-02-01 11:02:43 install debconf:all <none> 1.5.73
2021-02-01 11:02:43 status half-installed debconf:all 1.5.73
2021-02-01 11:02:43 status unpacked debconf:all 1.5.73
2021-02-01 11:02:43 install debianutils:arm64 <none> 4.9.1
2021-02-01 11:02:43 status half-installed debianutils:arm64 4.9.1
2021-02-01 11:02:43 status unpacked debianutils:arm64 4.9.1
